,Lowest Elev(ft),Diff
0,1647.38,0.2852213963476712
1,1647.38,0.2852213963476712
2,1647.38,0.2852213963476712
3,1647.38,0.2852213963476712
4,1647.38,0.2852213963476712
0,1756.2,0.4681616322708313
1,1756.2,0.4681616322708313
2,1756.2,0.4681616322708313
3,1756.2,0.4681616322708313
4,1756.2,0.4681616322708313
5,1756.2,0.4681616322708313
6,1756.2,0.4681616322708313
7,1756.2,0.4681616322708313
8,1756.2,0.4681616322708313
9,1756.2,0.4681616322708313
10,1756.2,0.4681616322708313
11,1756.2,0.4681616322708313
12,1756.2,0.4681616322708313
13,1756.2,0.4681616322708313
14,1756.2,0.4681616322708313
0,1571.59,0.3457353091523396
1,1571.59,0.3457353091523396
2,1571.59,0.3457353091523396
3,1571.59,0.3457353091523396
4,1571.59,0.3457353091523396
0,1975.16,7.00071934528941
1,1975.16,7.00071934528941
2,1975.16,7.00071934528941
3,1975.16,7.00071934528941
4,1975.16,7.00071934528941
5,1975.16,7.00071934528941
6,1975.16,7.00071934528941
7,1975.16,7.00071934528941
8,1975.16,7.00071934528941
9,1975.16,7.00071934528941
10,1975.16,7.00071934528941
11,1975.16,7.00071934528941
12,1975.16,7.00071934528941
13,1975.16,7.00071934528941
14,1975.16,7.00071934528941
0,1561.12,0.6139599808700559
1,1561.12,0.6139599808700559
2,1561.12,0.6139599808700559
3,1561.12,0.6139599808700559
4,1561.12,0.6139599808700559
5,1561.12,0.6139599808700559
6,1561.12,0.6139599808700559
7,1561.12,0.6139599808700559
0,1763.45,0.38491122293679814
1,1763.45,0.38491122293679814
2,1763.45,0.38491122293679814
3,1763.45,0.38491122293679814
4,1763.45,0.38491122293679814
5,1763.45,0.38491122293679814
6,1763.45,0.38491122293679814
7,1763.45,0.38491122293679814
8,1763.45,0.38491122293679814
9,1763.45,0.38491122293679814
10,1763.45,0.38491122293679814
11,1763.45,0.38491122293679814
12,1763.45,0.38491122293679814
13,1763.45,0.38491122293679814
14,1763.45,0.38491122293679814
15,1763.45,0.38491122293679814
16,1763.45,0.38491122293679814
17,1763.45,0.38491122293679814
18,1763.45,0.38491122293679814
19,1763.45,0.38491122293679814
20,1763.45,0.38491122293679814
21,1763.45,0.38491122293679814
22,1763.45,0.38491122293679814
23,1763.45,0.38491122293679814
24,1763.45,0.38491122293679814
25,1763.45,0.38491122293679814
26,1763.45,0.38491122293679814
27,1763.45,0.38491122293679814
28,1763.45,0.38491122293679814
29,1763.45,0.38491122293679814
30,1763.45,0.38491122293679814
31,1763.45,0.38491122293679814
32,1763.45,0.38491122293679814
33,1763.45,0.38491122293679814
34,1763.45,0.38491122293679814
0,2187.76,0.4813274603450455
1,2187.76,0.4813274603450455
2,2187.76,0.4813274603450455
3,2187.76,0.4813274603450455
4,2187.76,0.4813274603450455
5,2187.76,0.4813274603450455
6,2187.76,0.4813274603450455
7,2187.76,0.4813274603450455
8,2187.76,0.4813274603450455
9,2187.76,0.4813274603450455
10,2187.76,0.4813274603450455
