"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-105.45541,36.57493,11655.12,3552.48
2,-105.45443,36.57479,11527.17,3513.48
3,-105.45395,36.57474,11501.94,3505.79
4,-105.45363,36.57482,11505.41,3506.85
5,-105.45322,36.57503,11501.87,3505.77
