ID,Input Lon,Input Lat,Elev(ft),Elev(m)
1,-72.77144,44.51132,1502.62,458
2,-72.77116,44.51132,1491.11,454.49
3,-72.76998,44.51145,1413.88,430.95
4,-72.76957,44.51148,1384.22,421.91
5,-72.76904,44.51153,1360.5,414.68
6,-72.76877,44.5115,1351.84,412.04
7,-72.76862,44.51148,1346.42,410.39
8,-72.76749,44.51117,1314.96,400.8
9,-72.76701,44.5108,1300.69,396.45
