-71.6309459,44.044639
-71.63087009999998,44.0446609
-71.6304624,44.0449231
-71.6300869,44.0452547
-71.6298294,44.0455015
-71.62975429999999,44.0456249
-71.62950749999999,44.04613390000001
-71.62963629999999,44.0464732
-71.62987229999997,44.0472058
-71.6302586,44.0479307
-71.6305268,44.04855530000001
-71.63054819999999,44.048802
-71.63047569999999,44.0490887
-71.6304195,44.049311
-71.63047309999999,44.049681099999994
-71.6305268,44.0501669
-71.63067699999999,44.0507221
-71.63083789999999,44.051154
-71.6309345,44.0515781
-71.631031,44.0519482
-71.630913,44.052272
-71.6307092,44.0526113
-71.63075209999998,44.0530354
-71.6309452,44.0534209
-71.6310847,44.0538373
-71.631074,44.0539607
-71.6310203,44.054430999999994
-71.6309667,44.0550325
-71.63098809999998,44.0556185
-71.63087009999998,44.055818900000006
-71.6306448,44.0559115
-71.6305053,44.0559731
-71.63026930000001,44.055872900000004
-71.6300333,44.055872900000004
-71.62981869999999,44.055896
-71.62940029999999,44.0560657
