-71.626509,44.0393978
-71.62632119999999,44.039483999999995
-71.62598849999998,44.0396403
-71.6256666,44.0398717
-71.62539839999998,44.040118500000005
-71.62531259999999,44.0402958
-71.624862,44.0405735
-71.62480829999998,44.0407354
-71.62480829999998,44.0409745
-71.6247332,44.0412136
-71.6245079,44.041429599999994
-71.6242182,44.041553
-71.62399289999999,44.0417997
-71.6237676,44.0421545
-71.6235209,44.0426095
-71.62338139999999,44.042987399999994
-71.62338139999999,44.043426999999994
-71.62332769999999,44.0437201
-71.62326340000001,44.04424449999999
-71.62323119999999,44.044761199999996
-71.62308099999998,44.0452624
-71.6231132,44.04591020000001
-71.6232097,44.0461878
-71.62340279999998,44.0463267
